Time,Event,Player,Power,Goroutine,Match Number,Turn
2025-04-25T12:42:36+07:00,start_game,System,0,main,11,0
2025-04-25T12:42:36+07:00,wake_up,B,0,B-1745559756998019900,11,2
2025-04-25T12:42:36+07:00,wake_up,A,0,A-1745559756998019900,11,1
2025-04-25T12:42:36+07:00,ping,A,65,A-1745559756998019900,11,1
2025-04-25T12:42:36+07:00,table_response,Table,57,Table,11,0
2025-04-25T12:42:37+07:00,wake_up,B,57,B-1745559756998019900,11,2
2025-04-25T12:42:37+07:00,pong,B,26,B-1745559756998019900,11,2
2025-04-25T12:42:37+07:00,lose,B,26,B-1745559756998019900,11,2
2025-04-25T12:42:37+07:00,game_over,System,0,main,11,2
2025-04-25T12:42:39+07:00,start_game,System,0,main,12,0
2025-04-25T12:42:39+07:00,wake_up,A,0,A-1745559759200731000,12,1
2025-04-25T12:42:39+07:00,wake_up,B,0,B-1745559759200731000,12,2
2025-04-25T12:42:39+07:00,ping,A,76,A-1745559759200731000,12,1
2025-04-25T12:42:39+07:00,table_response,Table,63,Table,12,0
2025-04-25T12:42:39+07:00,wake_up,B,63,B-1745559759200731000,12,2
2025-04-25T12:42:39+07:00,pong,B,10,B-1745559759200731000,12,2
2025-04-25T12:42:39+07:00,lose,B,10,B-1745559759200731000,12,2
2025-04-25T12:42:39+07:00,game_over,System,0,main,12,2
2025-04-25T12:42:41+07:00,start_game,System,0,main,13,0
2025-04-25T12:42:41+07:00,wake_up,A,0,A-1745559761403912400,13,1
2025-04-25T12:42:41+07:00,wake_up,B,0,B-1745559761403912400,13,2
2025-04-25T12:42:41+07:00,ping,A,53,A-1745559761403912400,13,1
2025-04-25T12:42:41+07:00,table_response,Table,47,Table,13,0
2025-04-25T12:42:41+07:00,wake_up,B,47,B-1745559761403912400,13,2
2025-04-25T12:42:41+07:00,pong,B,25,B-1745559761403912400,13,2
2025-04-25T12:42:41+07:00,lose,B,25,B-1745559761403912400,13,2
2025-04-25T12:42:41+07:00,game_over,System,0,main,13,2
2025-04-25T12:42:43+07:00,start_game,System,0,main,14,0
2025-04-25T12:42:43+07:00,wake_up,A,0,A-1745559763606721900,14,1
2025-04-25T12:42:43+07:00,wake_up,B,0,B-1745559763606721900,14,2
2025-04-25T12:42:43+07:00,ping,A,85,A-1745559763606721900,14,1
2025-04-25T12:42:43+07:00,table_response,Table,71,Table,14,0
2025-04-25T12:42:43+07:00,wake_up,B,71,B-1745559763606721900,14,2
2025-04-25T12:42:43+07:00,pong,B,12,B-1745559763606721900,14,2
2025-04-25T12:42:43+07:00,lose,B,12,B-1745559763606721900,14,2
2025-04-25T12:42:43+07:00,game_over,System,0,main,14,2
2025-04-25T12:42:45+07:00,start_game,System,0,main,15,0
2025-04-25T12:42:45+07:00,wake_up,A,0,A-1745559765810943400,15,1
2025-04-25T12:42:45+07:00,wake_up,B,0,B-1745559765811591400,15,2
2025-04-25T12:42:45+07:00,ping,A,87,A-1745559765810943400,15,1
2025-04-25T12:42:45+07:00,table_response,Table,66,Table,15,0
2025-04-25T12:42:46+07:00,wake_up,B,66,B-1745559765811591400,15,2
2025-04-25T12:42:46+07:00,pong,B,67,B-1745559765811591400,15,2
2025-04-25T12:42:46+07:00,wake_up,A,67,A-1745559765810943400,15,3
2025-04-25T12:42:46+07:00,ping,A,82,A-1745559765810943400,15,3
2025-04-25T12:42:46+07:00,table_response,Table,59,Table,15,0
2025-04-25T12:42:46+07:00,wake_up,B,59,B-1745559765811591400,15,4
2025-04-25T12:42:46+07:00,pong,B,23,B-1745559765811591400,15,4
2025-04-25T12:42:46+07:00,lose,B,23,B-1745559765811591400,15,4
2025-04-25T12:42:46+07:00,game_over,System,0,main,15,4
